"Owner ID","Openness","Conscientiousness","Extraversion","Agreeableness","Neuroticism"
"364969.json","0.92672217","0.31050122","0.15785418","0.0012641439","0.87624514"
"111174.json","0.9251446","0.28297576","0.030551516","1.0865737E-4","0.8435298"
"9951.json","0.99715966","0.534028","0.051085394","2.1236516E-4","0.9704118"
"8985.json","0.9939466","0.3556147","0.14452793","2.5687637E-5","0.95745295"
"31569.json","0.9959363","0.602273","0.3161638","0.0019966029","0.9655147"
"39933.json","0.9106029","0.23598178","0.1888114","5.279976E-4","0.92625046"
"98046.json","0.98360604","0.1910917","0.07771175","3.4436345E-4","0.8968383"
"370286.json","0.9862446","0.23040017","0.024159158","2.3098633E-5","0.89108324"
"18393.json","0.987611","0.67481047","0.18178545","0.019173307","0.9433153"
"95592.json","0.9722916","0.46125308","0.1875607","0.0015368947","0.9741895"
"14113.json","0.97261155","0.63733697","0.16725722","0.025418976","0.92168987"
"3155639.json","0.997922","0.33855125","0.040548272","3.6521666E-4","0.91099626"
"21709.json","0.99914026","0.36003166","0.09137841","0.0012391352","0.9344088"
"179467.json","0.94119996","0.33777815","0.022444401","3.051983E-5","0.84796554"
"476.json","0.9981296","0.3453836","0.121763736","1.7148275E-4","0.9251583"
"4883.json","0.9994957","0.20502661","0.49188313","0.0012901408","0.9009571"
"2057919.json","0.959476","0.1537135","0.012543661","2.21297E-5","0.7815549"
"3093387.json","0.98868406","0.43698144","0.2559159","0.009091732","0.7685237"
"62130.json","0.98882216","0.7792946","0.03801357","0.0017067447","0.9631522"
"53114.json","0.998344","0.30231172","0.10258625","1.0202672E-4","0.90861875"
"89904.json","0.98290503","0.23501226","0.05826008","5.818269E-4","0.8173388"
"438581.json","0.9998584","0.5172813","0.19563939","0.0012599992","0.8910392"
"7311767.json","0.99744576","0.818197","0.11206688","0.0018035601","0.93428856"
"87234.json","0.98465353","0.8126968","0.016080007","0.0018580665","0.9255989"
"1849664.json","0.9019555","0.4410144","0.04903622","0.008976876","0.8373166"
"7441.json","0.99979913","0.41260436","0.21812366","0.0025095046","0.89693934"
"4105.json","0.98463506","0.16241793","0.12959225","2.0570413E-4","0.8243131"
"5190.json","0.99845856","0.32601076","0.35426724","0.001742392","0.9119876"
"104014.json","0.9980436","0.55892456","0.13524793","0.0045525935","0.854025"
"25449.json","0.99978447","0.6314085","0.10200388","0.0013610565","0.95058453"
"584192.json","0.9722095","0.42596123","0.12350804","0.0022355285","0.8864267"
"1073107.json","0.9981809","0.44698614","0.12009774","2.2984514E-4","0.95612544"
"44984.json","0.9936186","0.47891614","0.011677343","2.5473606E-5","0.96408576"
